Id,highlighted,text,ru_trans,tags,prefix,suffix,position_start,position_end,start_container,end_container,chapter,ch
EMlJqK0zEe2XiRdSVlAvFA,01,"Despite its many oddities, *Between Dog and Wolf* features a strict, formal structure: eight prose chapters from the perspective of the itinerant grinder Ilya Zynzyrella; five prose chapters that concern the life and thoughts of the dog-keeper Yakov Palamakhterov; four chapters consisting of 36 poems written by Yakov; and a final chapter made up of a single, separate poem, again authored by Yakov. As Alexander Boguslawski writes, the chapters follow this pattern: ABCABACABACABACBAC (""How Sokolov's"" 205).",,"['structure', 'NT']","     
      

      
        
  ",". Заитильщина
  
  Месяц ясен, з",618,620,/div[1]/main[1]/article[1]/h1[1],/div[1]/main[1]/article[1]/h1[1],01. ЗАИТИЛЫЦИНА,01_ru
gjCZ0LBDEe2bc7Mq801gTg,Заитильщина,"The title of Ilya's chapters derives from the Tatar name of the Volga river (Itil'), and recalls the [Zadonshchina](http://www.drevne.ru/lib/zadon_s.htm), an epic literary text (dated late 14th century) about the Battle of Kulikovo of 1380 (its title derives from the river Don). As ""the Zadonshchina shows the humanity of the Tatar troops and expresses genuine sympathy for a grief the Russian and Tatar alike could understand” (Halperin, *The Golden Horde *109), the Zaitil'shchina describes the diverse human universe by the Volga (Zavol'zhe), or Wolf river (Zavol'che) as it is called by paronomastic association between the terms Volga and ""volk"" (wolf). Andrei Zorin describes the setting of the novel in these terms: ""in the second novel, the directly named Zaitil'shchina, or Zavolzh'e, serves only as a symbol for a lost corner of the earth. The specific topographical realities here are deliberately scarce, and the historical ones are so thoroughly mixed up that it is absolutely impossible to reconcile the events described with any particular part of our century. And this desire of the writer for the ultimate universalization of time and space in his novel finds its most vivid expression in the role played in his artistic world by the painting of Pieter Brueghel the Elder"" (""Nasylaiushchii veter"" 252); ""The theme of physical damage in the novel becomes another embodiment of the Zaitil'shchina, a land where nothing is being built, produced, and only occasionally repaired, and more often it decays, becomes unusable, breaks and steals"" (""Nasylaiushchii veter"" 253). Vadim Kreid, titling his article ""Zaitil'shchina,"" describes the ""bezvremen'e"" (the absence of time) as the ""неизлечимая болезнь Заитильского бытия"" (incurable illness of life in Zavol'zhe), while he also points out a specific ""agnosticism"" typical of this fictional world, based on ""carelessness, inevitability of desolation, and nothingness (non-existence) as redemption"" (беспечность, неизбежность опустошения и небытие как избавление) (216-217).",,"['setting', 'structure', 'symbol', 'russia', 'intertextuality', 'NT']"," 
      

      
        
  01. ","
  
  Месяц ясен, за числами не ",622,633,/div[1]/main[1]/article[1]/h1[1],/div[1]/main[1]/article[1]/h1[1],01. ЗАИТИЛЫЦИНА,01_ru
iV6hMqtkEeyw9NuWsnyvEg,Месяц ясен,"This expression hides a double meaning, as the word ""mesiats"" may mean both ""moon"" and ""month"". The author is at once suggesting that ""the month is clear"" (a rather indeterminate time setting) and that ""the moon shines"". The formulation recalls also Nikolai Gogol's *Diary of a Madman* (1834): ""I don't remember the date. There was also no month"" (Ostanin 10). Данное выражение скрывает в себя по крайней мере два значения: подразумевается либо месяц календаря, либо фаза луны. В первом случае это довольно неопределенное указание на время года, а во втором случае описывается, как луна сияет на небе. Формулировка напоминает ""Записки сумасшедшего"" Н. Гоголя: ""Числа не помню. Месяца тоже не было"" (Останин 10).","Формулировка напоминает ""Записки сумасшедшего"" Н. Гоголя: ""Числа не помню. Месяца тоже не было"" (Останин 10).","['explanatory', 'pun', 'ru', 'intertextuality', 'time']","        
  01. Заитильщина
  
  ",", за числами не уследишь, год ны",639,649,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1],01. ЗАИТИЛЫЦИНА,01_ru
9bFoDsGWEeyAvashHwkiCA,за числами не уследишь,"Typical sample of Sokolov's non-linear conception of time (see, for instance, R.C. Borden, Time, backward!: Sasha Sokolov and Valentin Kataev, in CASS 21 (3-4) 1987, 247-263; School for fools, Palisandriya)
Классический пример нелинеарного восприятия времени (см., например, с критической точки зрения, R.C. Borden, Time, backward!: Sasha Sokolov and Valentin Kataev, in CASS 21 (3-4) 1987, 247-263, и Школа для дураков / Палисандрия)",,"['intratextuality', 'thematic self-reference', 'time']","1. Заитильщина
  
  Месяц ясен, ",", год нынешний. Гражданину 
Сидо",651,673,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1],01. ЗАИТИЛЫЦИНА,01_ru
lD3gBKtkEeydac-qwsqX9w,год нынешний,"This expression introduces the reader into a blurred atmosphere of uncertainty, where exact coordinates in space and time are deliberately foggy. Данное выражение вводит читателя в мутную атмосферу неопределенности: пространственно-временные представления являются нарочито туманными.",,"['explanatory', 'time', 'ru']","ц ясен, за числами не уследишь, ",". Гражданину 
Сидор Фомичу Пожил",675,687,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1]/hypothesis-highlight[3],01. ЗАИТИЛЫЦИНА,01_ru
n8SQ7qtkEeyw9n-sL6H8oA,Гражданину,"Interestingly enough, Sokolov avoids using the most common Soviet appellative ""Tovarishch"" opting for a rather general, but still evocative word (think of Nikolay Nekrasov's ""Poet i grazhdanin,"" Poet and Citizen, 1856). Интересно заметить, что Соколов избегает употреблять советское слово ""товарищ"", предпочитая ему более общий, зато значимый термин ""гражданин"" (ср. ""Поэт и гражданин"" Николая Некрасова, 1856).I can be wrong, but I think this is also related to the epistolary genre Ilya is here trying to reproduce and to the fact that his world is rather the 'old' one than the soviet one
Наверное это тоже зависит оттого, что Илья хочет ""правильно"" писать заявление и думает выражениями, типичными для ""старого"" (несоветского или, лучше, досоветского) времени",,"['register/style', 'language']","лами не уследишь, год нынешний. "," 
Сидор Фомичу Пожилых с уважени",689,699,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1],01. ЗАИТИЛЫЦИНА,01_ru
qOc60qtkEeykGPvNxZstIg,Сидор Фомичу,"Sidor (shortened form of Isidor), son of Foma. Here the declension of the name is incorrect (should be in the dative case, Sidoru). In colloquial language, the names are sometimes declined incorrectly for easier pronunciation: Сан Санычу (San Sanychu), Михал Валерьичу (Mikhal Valer'ichu), etc. The name Isidor (or Sidor) originally means ""son or gift of Isis,"" the major goddess in ancient Egyptian religion, an ideal of femininity and motherhood who was also believed to help the dead enter the afterlife.In colloquial language, the names are sometimes declined incorrectly for easier pronunciation:Сан Санычу, Михал Валерьичу etc. ","Сидор (сокращенная форма имени Исидор), сын Фомы. Здесь ошибка в склонении имени: правильная форма — Сидору (дательный падеж).","['character', 'register/style', 'NT']","дишь, год нынешний. Гражданину 
", Пожилых с уважением Зынзырэлы И,701,713,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1],01. ЗАИТИЛЫЦИНА,01_ru
sHWD-KtkEeyFOBt-MfrY9g,Пожилых,"An unusual surname, which does not permit standard declination. It literally means Elderly. Ostanin suggests a connection to Boris Pasternak's novel *Doctor Zhivago *by means of the root ""zhiv"" (to live) (10). Read the original [here](http://www.vehi.net/pasternak/). Likewise, he notes, too, that Alexander Pushkin considered including a story entitled ""Notes of an Elderly Person"" in his cycle of short stories, *The Tales of Belkin*. Read the original [here](https://ilibrary.ru/text/89/index.html) and an English translation [here](https://www.gutenberg.org/cache/epub/55219/pg55219-images.html).",,"['character', 'intertextuality', 'NT']","ешний. Гражданину 
Сидор Фомичу ", с уважением Зынзырэлы Ильи Петр,714,721,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1],01. ЗАИТИЛЫЦИНА,01_ru
tsPrWqtkEeytCweX_Vu83g,Зынзырэлы,"Again an usual last name (which is printed in more than ten different versions in the book). It carries allusions to Cinderella (see L. Toker's essay, ""Gamesman's Sketches (Found in a Bottle),"" CASS 21.3-4: 356). Еще одна необычная фамилия (которая встречается и в других графических-орфографических вариантов дальше в тексте). Намекается на сказку Золушки (по-английски Cinderella; cм. L. Toker, ""Gamesman's Sketches (Found in a Bottle),"" CASS 21.3-4: 356).",,"['character', 'symbol', 'intertextuality', 'ru']",идор Фомичу Пожилых с уважением , Ильи Петрикеича — Заитильщина. ,734,743,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1],01. ЗАИТИЛЫЦИНА,01_ru
vDgSZKtkEey0xb-Y0QM03w,Ильи,(add bibliography and sum up main interpretations),,"['character', 'symbols', 'expand']",у Пожилых с уважением Зынзырэлы , Петрикеича — Заитильщина. Разре,744,748,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1],01. ЗАИТИЛЫЦИНА,01_ru
