Id,highlighted,text,ru_trans,tags,prefix,suffix,position_start,position_end,start_container,end_container,chapter,ch
T2qT7COpEe27AdeQ9f22Uw,вокзал ожиданий,"Usually ""zal ozhidaniya"" (waiting room, waiting hall). Here the author mixes up the station and its waiting hall (literally, ""waiting station""). ","Обычно ""зал ожидания"". Здесь, автор путает вокзал и зал ожидания. ","['language', 'location']","06. От Ильи Петрикеича
  
  Чем ", шибает бестактно в нос? Не сочт,650,665,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1],06. От Ильи Петрикеича,06_ru
DrMq6B_REe2c8d8ZbfgbJg,шибает,"Colloquial: to wallop, hit, hurl.Set expression (""shibat' v nos""): to make a strong impression, to draw attention. ","Разговорное: бить, ударять. Устойчивое выражение (""шибать в нос""): производить сильное впечатление, обращать на себя внимание.","['register/style', 'phraseologism']","икеича
  
  Чем вокзал ожиданий ", бестактно в нос? Не сочтите за ,666,672,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1],06. От Ильи Петрикеича,06_ru
RUsgph_REe2yOxdKUZAtyQ,нос,"Coming out of chapter 5's Gogolian parody, it is no surprise that chapter 6 begins with a nose. Read Gogol's ""The Nose"" [here](https://ilibrary.ru/text/76/p.1/index.html) and an English translation [here](https://www.gla.ac.uk/0t4/crcees/files/summerschool/readings/Gogol_TheNose.pdf).","После гоголевской пародии в главе 5, начало шестой главы с разговора о носе не становится сюрпризом. Прочитать ""Нос"" Гоголя в оригинале можно [здесь](https://ilibrary.ru/text/76/p.1/index.html), а в английском переводе — [здесь](https://www.gla.ac.uk/0t4/crcees/files/summerschool/readings/Gogol_TheNose.pdf). ",['intertextuality'],зал ожиданий шибает бестактно в ,"? Не сочтите за 
жалобу, псиной ",685,688,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1],06. От Ильи Петрикеича,06_ru
ZrIqQCOrEe2VfltY9Yi6Uw,Не сочтите за,"Set expression: ""please, don't take this as...""",Устойчивое выражение: не поймите неправильно. ,['phraseologism'],жиданий шибает бестактно в нос? ," 
жалобу, псиной мокрой и беспри",690,703,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1],06. От Ильи Петрикеича,06_ru
cWK-4h_REe2zz18IHWV9aw,псиной,"Colloquial: dog, dog meat, dog smell. Animal motif.","Разговорное: собака, запах собаки. Мотив животных.",['register/style'],"о в нос? Не сочтите за 
жалобу, ", мокрой и беспризорной преет пуб,713,719,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1],06. От Ильи Петрикеича,06_ru
gwiD1iOtEe2Hj-dqfbGnsw,беспризорной,"The word ""besprizornyj/besprizornik"" appeared in the Soviet era, and according to the [National corpus of the Russian language](https://processing.ruscorpora.ru/graphic.xml?graphic_from_result=1&lang=ru&mode=main&nodia=1&req=беспризорный&smoothing=3&sort=i_grstd&text=lexform#toggle), it was typical in print in particular between 1920s-1940s. Literally meaning ""unsupervised"", it was usually used to refer to homeless children, orphans. Boris Zhitkov, author of children's books (1882-1938), wrote a short story titled ""Besprizornaya koshka"" (Unsupervised cat), published in his volume ""Rasskazy o zhivotnykh"" (Short Stories about Animals), 1935. ","Слово ""беспризорный/беспризорник"" появилось в советскую эпоху, и, согласно [Национальному корпусу русского языка](https://processing.ruscorpora.ru/graphic.xml?graphic_from_result=1&lang=ru&mode=main&nodia=1&req=%D0%B1%D0%B5%D1%81%D0%BF%D1%80%D0%B8%D0%B7%D0%BE%D1%80%D0%BD%D1%8B%D0%B9&smoothing=3&sort=i_grstd&text=lexform#toggle), было особенно распространено в печати между 1920-ми и 1940-ми годами. Буквально означая ""без присмотра"", слово обычно использовалось для описания бездомных детей, сирот. Борис Житков, автор детских книг (1882-1938), написал рассказ ""Беспризорная кошка"", который был опубликован в его сборнике ""Рассказы о животных"" (1935).","['language', 'soviet', 'time', 'intertextuality']","ите за 
жалобу, псиной мокрой и ", преет публика в массе своей. Ра,729,741,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1],06. От Ильи Петрикеича,06_ru
n1ikLh_REe2Hopf7ViEvEw,публика в массе своей,"Chapter 5, of course, concluded with Yakov's unpleasant interactions with ""the public"" as well.","Глава 5, конечно, завершается описанием такого же неприятного взаимодействия Якова с публикой. ",['intratextuality'],ной мокрой и беспризорной преет ,. Разболелись от гололеда у нас ,748,769,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1],06. От Ильи Петрикеича,06_ru
quJ4ZCOrEe2HiafhGkEu5w,в массе своей,"Set expression: largely, for the most part.","Устойчивое выражение: в большинстве, в основном.",['phraseologism'],ой и беспризорной преет публика ,. Разболелись от гололеда у нас ,756,769,/div[1]/main[1]/article[1]/p[1]/hypothesis-highlight[6],/div[1]/main[1]/article[1]/p[1]/hypothesis-highlight[6],06. От Ильи Петрикеича,06_ru
udb1RB_REe2PRxeaWMS4pw,Разболелись от гололеда у нас подмышки,Presumably from the difficulty of walking on ice using a crutch.,"Предположительно, из-за трудностей в передвижении по льду с костылем. ",['explanatory'],ой преет публика в массе своей. ,", замутила взоры мигрень. Навеща",771,809,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1],06. От Ильи Петрикеича,06_ru
1tlwkB_REe2XFtclFJRunQ,устатку,"Colloquial: fatigue, tiredness, weariness (same as усталость). Ostanin suggests this is a reference to Vladimir Vysotsky's 1971 song ""Police Protocol"": ""Я пил из горлышка, с устатку и не евши"" (""You bet: I drank from the bottle, hadn’t eaten, was too tired"") (49). Read the lyrics and an English translation [here](https://wysotsky.com/1033.htm?1968). Listen to the song [here](https://www.youtube.com/watch?v=bupKLAFfAOA).","Разговорное: усталость, изнеможение. Останин предполагает, что это отсылка к песне В. Высоцкого ""Милицейский протокол"" (1971): ""Я пил из горлышка, с устатку и не евши"" (Ostanin 49). Прочитать оригинал и английский перевод слов можно [здесь](https://wysotsky.com/1033.htm?1968). Послушать песню можно [здесь](https://www.youtube.com/watch?v=bupKLAFfAOA). ","['register/style', 'intertextuality', 'music']",утила взоры мигрень. Навещаем с , путейную тут питейную — лечимся,846,853,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1],06. От Ильи Петрикеича,06_ru
