Id,highlighted,text,ru_trans,tags,prefix,suffix,position_start,position_end,start_container,end_container,chapter,ch
Q5mF2Hu5Ee22YJdbAzu3vQ,Содвинулись,Dated: same as сдвинуться (to gather together). Colloquial: to go crazy.,,['register/style'],"        
  12. Заитильщина
  
  "," все происшествие обсуждать, но ",639,650,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1],12. Заитильщина,12_ru
EKm4AowzEe2cvhuvnK4N1A,Содвинулись все происшествие обсуждать,A continuation of the end of chapter 10.,,['intratextuality'],"        
  12. Заитильщина
  
  ",", но тут раздался оркестрион, и ",639,677,/div[1]/main[1]/article[1]/p[1]/hypothesis-highlight[1],/div[1]/main[1]/article[1]/p[1],12. Заитильщина,12_ru
dhWthHu5Ee213t9CZIdE1A,оркестрион,A music-playing machine that reproduces an orchestra or band. Pictured here: ![](https://upload.wikimedia.org/wikipedia/commons/e/e1/1918_Seeburg_Orchestrion.jpg),,['music'],"твие обсуждать, но тут раздался ",", и от попурри не воздержались. ",695,705,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1],12. Заитильщина,12_ru
oW4B1Hu5Ee2ZWPcBIEFhQg,попурри,"From the French for ""putrid pot."" A medley.",,"['foreign', 'music']","о тут раздался оркестрион, и от "," не воздержались. Эх, шерочка, д",712,719,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1],12. Заитильщина,12_ru
AJdF0IB5Ee29xzPafHAYAg,"Эх, шерочка, да ты машерочка, косолапочка, престарелочка","Listening to the music, a couple has started dancing. As Sokolov himself explains (""Bol'shoe pis'mo"" 135), this is a dance between men.  ",,['explanatory'],", и от попурри не воздержались. ",". Горе тебе, Городнище большое, ",737,793,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1],12. Заитильщина,12_ru
15tB_nu5Ee21fT-4716kyA,"шерочка, да ты машерочка","Set expression: шерочка с машерочкой (joined at the hip, bosom buddies).",,['phraseologism'],"от попурри не воздержались. Эх, ",", косолапочка, престарелочка. Го",741,765,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1],12. Заитильщина,12_ru
1NviZoB4Ee25DZcV4EvmGw,косолапочка,"Having clubfoot. We should here remember Sophocle's Oedipus, who had a swollen foot. 
expand on Oedipus and Sobaka",,"['expand', 'intertextuality']",". Эх, шерочка, да ты машерочка, ",", престарелочка. Горе тебе, Горо",767,778,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1],12. Заитильщина,12_ru
n8wW5IB5Ee25D18p84BqUA,"Горе тебе, Городнище большое, 
мощнеющий град","Intertextual reference to the [Book of Revelation 18,10](https://www.biblegateway.com/passage/?search=Revelation%2018%3A10&version=NIV).Ostanin also draws a parallel to Ivan Bunin's 1916 ""The Horse of Afina-Pallada"" (85). Read the poem [here](http://bunin-lit.ru/bunin/stihi/269.htm).",,"['bible', 'intertextuality', 'religion']","ка, косолапочка, престарелочка. ",", в минуту пляски у меня мелькну",795,840,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1]/hypothesis-highlight[10],12. Заитильщина,12_ru
DfgYinu6Ee2C36doKKlW-Q,Городнище,"The main setting of the novel: a fictional town on the banks of the Volga River. Also called Gorodnishchi. Derived from the words for town (gorod) and beggar (nishchii). It is the ""town of beggars.""",,['location'],"очка, престарелочка. Горе тебе, "," большое, 
мощнеющий град, в мин",806,815,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1],12. Заитильщина,12_ru
NkdzlHu6Ee23sf9L8yqfgA,град,Архаизм: город.,,"['register/style', 'archaism']",", Городнище большое, 
мощнеющий ",", в минуту пляски у меня мелькну",836,840,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1],12. Заитильщина,12_ru
TgXaDHu6Ee2lNh8xnbtRyg,пляски,"Dancing. This word is crucial to Sokolov's art. Chorea — a movement disorder belonging to the  dyskinesias group of neurological disorders. Its name comes from the Ancient Greek ""χορεία"" and was used to described the movements of those inflicted by the disease. Sokolov's first novel, *A School for Fools*, is dedicated to Vita Pliaskina, which refers to Sydenham's chorea (also known as ""St. Vitus's dance, пляска святого Вита in Russian). Watch a video [here](https://www.youtube.com/watch?v=wTCnbga3sqg).  Referred to several times in the novel (R171, 191, 205, 214, 215/E37, 74, 97, 113, 115).",,"['intratextuality', 'self-reference', 'intertextuality']","ьшое, 
мощнеющий град, в минуту "," у меня мелькнуло немножечко. 
И",851,857,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1],12. Заитильщина,12_ru
pGn4qnu7Ee2cVx_gX_F8ag,есть-пошла,"An archaic verbal form from Old Church Slavonic. A reference to Nestor's *Primary Chronicle* and its opening lines: ""whence the Russian land?"" Read the original in OCS [here](https://studfile.net/preview/4199237/) and in Russian [here](http://www.hrono.info/dokum/1000dok/povest1.php) and an English translation [here](https://www.mgh-bibliothek.de/dokumente/a/a011458.pdf).",,"['intertextuality', 'Russia']",ействительно. Именно с того дня ," эта смутная Заитильщина, то ест",923,933,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1],12. Заитильщина,12_ru
2w0fkHu7Ee260Ts1-CJPBg,смутная,"Ilya draws a parallel between his account and the Time of Troubles (Смутноте время, 1598-1613), the period of political and social turmoil that followed the death of Fyodor I, the last of the Rurik dynasty.",,"['explanatory', 'time']",менно с того дня есть-пошла эта ," Заитильщина, то есть те нелады,",938,945,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1],12. Заитильщина,12_ru
9sFbmHu7Ee20FvddMF5RJA,нелады,"Colloquial: discords, disagreements.",,['register/style'],"смутная Заитильщина, то есть те ",", ради коих и разоряюсь на канце",970,976,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1],12. Заитильщина,12_ru
GZDpwnu8Ee2H_3dIIkAaZg,разоряюсь,"Colloquial: to go broke, pay money.",,['register/style']," то есть те нелады, ради коих и "," на канцелярии. 
Слышали новость",990,999,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1],12. Заитильщина,12_ru
N4kIknu8Ee2JrYdncOrBGg,Налимы,Burbot. Pictured here: ![](https://upload.wikimedia.org/wikipedia/commons/1/14/Tr%C3%BCsche_Walchensee.jpg) Animal motif.,,['motif'],"а канцелярии. 
Слышали новость? ",", в луну влюбленные, с целью к н",1033,1039,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1],12. Заитильщина,12_ru
