Id,highlighted,text,ru_trans,tags,prefix,suffix,position_start,position_end,start_container,end_container,chapter,ch
hx9z8ranEe22Fodg4Pjjkw,09,"Elena Kravchenko describes the structure of the novel as follows: ""The structure of the novel, excluding chapter eighteen [...], forms a set of convex mirrors. The first and last chapters are *skaz*, the second and penultimate are prose, the third and the fifteenth chapters are poems, then again two mirroring Il'ia's narratives (4 and 14), the prose narratives (5 and 13), Il'ia's (6 and 12), verse (7 and 11), and Il'ia's (8 and 10). The structure 'folds' in the middle, at chapter nine — a prose entry, thus making it a 'centrefold', which holds the book together"" (*Reflections* 53–54).",,['structure'],"     
      

      
        
  ",". Картинки с выставки
  
  Друг ",618,620,/div[1]/main[1]/article[1]/h1[1],/div[1]/main[1]/article[1]/h1[1],09. Картинки с выставки,09_ru
rTDJxkfYEe26H3vKFDqFgg,Картинки с выставки,"Such an ekphrastic title is borrowed from Modest Mussorgsky's famous suite of ten piano pieces, composed in 1874. If Mussorgsky's work intertwines music and pictorial art, in these chapters we see how visual art enters the written dimension of literature. Listen to a recording [here](https://www.youtube.com/watch?v=O31KPk5xnBg).",,"['music', 'intertextuality', 'theme']"," 
      

      
        
  09. ","
  
  Друг семьи, разъездной чин",622,641,/div[1]/main[1]/article[1]/h1[1],/div[1]/main[1]/article[1]/h1[1],09. Картинки с выставки,09_ru
JKJpOEfZEe2dh89b_8zHPA,сицилианские,An island region of Italy. The largest Mediterranean island. Depicted here: ![](https://upload.wikimedia.org/wikipedia/commons/a/a0/Sicily_Map.png),,['foreign'],"азъездной чиновник, чьи предки, "," 
негоцианты, прикатили когда-то",692,704,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1],09. Картинки с выставки,09_ru
q1EN1FFjEe2uEHPHd_UEHQ,негоцианты,"Dated: merchant, tradesman, negotiator. It could also be an ""italianism"" (as *negozianti* in Italian means shopkeepers, sellers, vendors).",,"['register/style', 'foreign']","вник, чьи предки, сицилианские 
",", прикатили когда-то в  Россию з",706,716,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1],09. Картинки с выставки,09_ru
hKHhiEfZEe2W6iu7wjwwbA,прикатили,Low: the same as прийти (to arrive).,,['register/style'],"едки, сицилианские 
негоцианты, ", когда-то в  Россию за партией t,718,727,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1],09. Картинки с выставки,09_ru
oDG-lJKLEe2VEjvghxY_Sw,в  Р,error: extra space here,,['error'],"
негоцианты, прикатили когда-то ","оссию за партией tarantasi 
и, в",737,741,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1],09. Картинки с выставки,09_ru
mfeOKFFjEe2yY-PHJ8Qk6w,tarantasi,"A Russian carriage with a long frame and no spring. Pictured here: ![](https://upload.wikimedia.org/wikipedia/commons/4/47/Tarantass.jpg) Curiously, the word is spelled in Latin letters. Since the origin of the word ""tarantas"" is unknown, the author could be again playing on a fake ""italianism"" and/or recall the Italian city of Taranto (which is located in the south of Italy, yet not in Sicily). Ostanin suggests a connection to Vladimir Sollogub's 1840 novella *[Tarantas](http://az.lib.ru/s/sollogub_w_a/text_0040.shtml)*.",,"['Russia', 'foreign', 'intertextuality']",и когда-то в  Россию за партией ," 
и, возвращаясь, навечно застря",758,767,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1],09. Картинки с выставки,09_ru
5InNhkfZEe2mgu83gqa3Zw,непролазной,"Colloquial: impassable, inpenetrable.",,['register/style'],"возвращаясь, навечно застряли в "," грязи где-то меж 
Конотопом и С",804,815,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1],09. Картинки с выставки,09_ru
FY6INkfaEe2SEu9Q8s5cJQ,Конотопом,A city in northeastern Ukraine. Pictured here: ![](https://upload.wikimedia.org/wikipedia/commons/e/e6/Konotop_Montage_2017.png),,"['location', 'foreign']","в непролазной грязи где-то меж 
", и Сызранью и чей портрет блиста,834,843,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1],09. Картинки с выставки,09_ru
UJhixkfaEe2me6uOiklY5g,Сызранью,"A city in the Samara Oblast of Russia, located along the Volga River. Pictured here: ![](https://upload.wikimedia.org/wikipedia/commons/b/b4/%D0%A1%D1%8B%D0%B7%D1%80%D0%B0%D0%BD%D1%8C_-_panoramio_%289%29.jpg)",,"['Russia', 'location']","й грязи где-то меж 
Конотопом и ", и чей портрет блистает отсутств,846,854,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1],09. Картинки с выставки,09_ru
U79NjE8MEe2YqkMo0GLccw,блистает отсутствием,"Boguslawski notes that this expression is derived from Tacitus's *Annals*. It gained popularity in Russia thanks to Marie-Joseph de Chénier's *Tibre* (Tiber) (1819) (""Annotations"" 246).",,"['intertextuality', 'foreign', 'phraseologism']",отопом и Сызранью и чей портрет ," в экспозиции, принимает участие",869,889,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1],09. Картинки с выставки,09_ru
sO2QkFFfEe2p7PfXwPg1Wg,экспозиции,That is (perhaps) the exposition that gives these chapters the title.,,"['explanatory', 'intratextuality']", портрет блистает отсутствием в ,", принимает участие в нашем геро",892,902,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1],09. Картинки с выставки,09_ru
ftkb5FIgEe21J28e1Zx6tQ,принимает участие в нашем герое,"We would expect ""повествовании"" instead of ""герое"". This twist suggest the interconnections and multiple layers characters are ""built"" on.",,"['structure', 'character']","стает отсутствием в экспозиции, ",". Когда последний, по 
выражению",904,935,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1],09. Картинки с выставки,09_ru
5J_pEFFfEe25QSf4VYdK6w,в действительный курс респектации,Moving into adulthood.,,['explanatory'],", по 
выражению первого, входит ",", 
чиновник рекомендует юноше пу",984,1017,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1],09. Картинки с выставки,09_ru
0nE2VkfaEe2UYvfcUxjzrw,пуститься,"Colloquial: to set out, go into.",,['register/style'],"ии, 
чиновник рекомендует юноше ", по своим стопам и составляет ем,1047,1056,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1],09. Картинки с выставки,09_ru
5KOsmlHvEe2GxQ_jlwwGJA,разъездное училище,Ostanin (67) notices the ironic twist (instead of “uezdnoe uchilishche”).,,['irony'],ему протекцию для поступления в ,. Судьба художника была решена. ,1118,1136,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1],09. Картинки с выставки,09_ru
-YZ1MEfaEe2xFJM5F3b7fQ,Лик,Literary/archaism: face.,,"['register/style', 'archaism']",. Судьба художника была решена. ," его, наделенный приметами изыск",1168,1171,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1],09. Картинки с выставки,09_ru
a4hNhEfbEe26MHfgnuM7yw,улавливать,Colloquial: to catch.,,['register/style'],"словно бы для того, чтобы лучше "," цокот копыт, безнадежно оттопыр",1482,1492,/div[1]/main[1]/article[1]/p[1],/div[1]/main[1]/article[1]/p[1],09. Картинки с выставки,09_ru
